,rating,percentage,totals,imdb_id,title
9,1.0,2.6,21877.0,tt2488496,Star Wars: The Force Awakens
1,9.0,28.3,408454.0,tt0167261,The Lord of the Rings: The Two Towers
2,8.0,20.8,300885.0,tt0167261,The Lord of the Rings: The Two Towers
3,7.0,8.8,126575.0,tt0167261,The Lord of the Rings: The Two Towers
4,6.0,3.0,43502.0,tt0167261,The Lord of the Rings: The Two Towers
5,5.0,1.4,20236.0,tt0167261,The Lord of the Rings: The Two Towers
6,4.0,0.7,9429.0,tt0167261,The Lord of the Rings: The Two Towers
7,3.0,0.5,6657.0,tt0167261,The Lord of the Rings: The Two Towers
8,2.0,0.4,5744.0,tt0167261,The Lord of the Rings: The Two Towers
9,1.0,1.4,20681.0,tt0167261,The Lord of the Rings: The Two Towers
1,9.0,29.1,355908.0,tt0361748,Inglourious Basterds
2,8.0,28.4,347707.0,tt0361748,Inglourious Basterds
3,7.0,13.0,159070.0,tt0361748,Inglourious Basterds
4,6.0,4.5,55643.0,tt0361748,Inglourious Basterds
5,5.0,1.9,23211.0,tt0361748,Inglourious Basterds
6,4.0,1.0,11964.0,tt0361748,Inglourious Basterds
7,3.0,0.6,7701.0,tt0361748,Inglourious Basterds
8,2.0,0.5,5841.0,tt0361748,Inglourious Basterds
9,1.0,1.3,15409.0,tt0361748,Inglourious Basterds
1,9.0,24.1,150661.0,tt3315342,Logan
2,8.0,28.2,175972.0,tt3315342,Logan
3,7.0,16.4,102258.0,tt3315342,Logan
4,6.0,6.0,37239.0,tt3315342,Logan
5,5.0,2.1,13190.0,tt3315342,Logan
6,4.0,0.9,5744.0,tt3315342,Logan
7,3.0,0.5,3066.0,tt3315342,Logan
8,2.0,0.3,2115.0,tt3315342,Logan
9,1.0,0.7,4319.0,tt3315342,Logan
1,9.0,12.9,63258.0,tt2250912,Spider-Man: Homecoming
2,8.0,30.8,151434.0,tt2250912,Spider-Man: Homecoming
3,7.0,28.4,139493.0,tt2250912,Spider-Man: Homecoming
4,6.0,10.4,51335.0,tt2250912,Spider-Man: Homecoming
5,5.0,3.5,17250.0,tt2250912,Spider-Man: Homecoming
6,4.0,1.3,6501.0,tt2250912,Spider-Man: Homecoming
7,3.0,0.7,3469.0,tt2250912,Spider-Man: Homecoming
8,2.0,0.5,2448.0,tt2250912,Spider-Man: Homecoming
9,1.0,1.4,6770.0,tt2250912,Spider-Man: Homecoming
1,9.0,7.5,53097.0,tt1228705,Iron Man 2
2,8.0,21.7,152979.0,tt1228705,Iron Man 2
3,7.0,33.7,237029.0,tt1228705,Iron Man 2
4,6.0,17.9,125934.0,tt1228705,Iron Man 2
5,5.0,6.5,46092.0,tt1228705,Iron Man 2
6,4.0,2.4,17222.0,tt1228705,Iron Man 2
7,3.0,1.0,7258.0,tt1228705,Iron Man 2
8,2.0,0.6,3976.0,tt1228705,Iron Man 2
9,1.0,0.9,6447.0,tt1228705,Iron Man 2
1,9.0,20.7,206726.0,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
2,8.0,33.2,332114.0,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
3,7.0,17.3,172718.0,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
4,6.0,5.7,56871.0,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
5,5.0,2.1,21009.0,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
6,4.0,0.9,8726.0,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
7,3.0,0.5,4980.0,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
8,2.0,0.3,3362.0,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
9,1.0,0.9,8983.0,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
1,9.0,25.9,235621.0,tt1049413,Up
2,8.0,29.8,270482.0,tt1049413,Up
3,7.0,15.6,141951.0,tt1049413,Up
4,6.0,5.2,47104.0,tt1049413,Up
5,5.0,1.8,16190.0,tt1049413,Up
6,4.0,0.7,6628.0,tt1049413,Up
7,3.0,0.4,3397.0,tt1049413,Up
8,2.0,0.3,2355.0,tt1049413,Up
9,1.0,0.6,5160.0,tt1049413,Up
1,9.0,23.2,171204.0,tt3659388,The Martian
2,8.0,36.2,267263.0,tt3659388,The Martian
3,7.0,18.8,138985.0,tt3659388,The Martian
4,6.0,5.7,41936.0,tt3659388,The Martian
5,5.0,1.8,13192.0,tt3659388,The Martian
6,4.0,0.7,5029.0,tt3659388,The Martian
7,3.0,0.4,2672.0,tt3659388,The Martian
8,2.0,0.2,1736.0,tt3659388,The Martian
9,1.0,0.5,3556.0,tt3659388,The Martian
1,9.0,26.0,330820.0,tt0372784,Batman Begins
2,8.0,32.7,416256.0,tt0372784,Batman Begins
3,7.0,15.0,191575.0,tt0372784,Batman Begins
4,6.0,4.2,53852.0,tt0372784,Batman Begins
5,5.0,1.5,18553.0,tt0372784,Batman Begins
6,4.0,0.6,7956.0,tt0372784,Batman Begins
7,3.0,0.3,4241.0,tt0372784,Batman Begins
8,2.0,0.2,3168.0,tt0372784,Batman Begins
9,1.0,0.8,9676.0,tt0372784,Batman Begins
1,9.0,12.0,47739.0,tt3183660,Fantastic Beasts and Where to Find Them
2,8.0,27.0,107249.0,tt3183660,Fantastic Beasts and Where to Find Them
3,7.0,28.5,112994.0,tt3183660,Fantastic Beasts and Where to Find Them
4,6.0,12.9,51136.0,tt3183660,Fantastic Beasts and Where to Find Them
